fournisseur;ref_sku;nom_commercial;famille;categorie;gamme;technologie;poids_unitaire;unites_par_colis;colis_par_palette;poids_colis_kg;ingredients;allergenes_declares;traces_possibles;labels;ddm_mois;provenance;statut;id_generique;url_source;date_collecte
Bridor;33250;Croissant 40g;VIEN;croissants;Les Savoureux;PAC;40g;165;64;6.6;farine de BLÉ, beurre fin (LAIT) 23%, eau, levure, sucre, ŒUFS, sel, gluten de BLÉ, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases).ŒUFS issus de poules élevées au sol.;gluten, lait, œufs;graines de sésame, soja, fruits à coque;"Végétarien; Beurre; Oeufs Plein Air; Clean Label; Halal; Oeufs Ponte au Sol; Beurre Fin";12;n.d.;ACTIF;VIEN-CROI-40;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-40g-33250;2026-09-10
Bridor;32960;Croissant 50g;VIEN;croissants;Eclat Du Terroir;PAC;50g;120;64;6.0;farine de BLÉ, beurre fin (LAIT) 23%, eau, sucre, levure, poudre de LAIT entier, sel, gluten de BLÉ, ŒUFS, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases).ŒUFS issus de poules élevées au sol.;gluten, lait, œufs;graines de sésame, soja, fruits à coque;"Végétarien; Beurre; Oeufs Plein Air; Clean Label; Halal; Oeufs Ponte au Sol; Beurre Fin";12;n.d.;ACTIF;VIEN-CROI-50;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-50g-32960;2026-09-10
Bridor;30158;Croissant 50g;VIEN;croissants;Les Classiques;CRU;50g;200;64;10.0;farine de BLÉ, eau, beurre fin (LAIT) 17%, sucre, levure, gluten de BLÉ, sel, émulsifiant (lécithine de colza), agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases).;gluten, lait;graines de sésame, soja, fruits à coque, œufs;"Végétarien; Beurre; Clean Label; Halal; Beurre Fin";9;n.d.;ACTIF;VIEN-CROI-50;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-50g-30158;2026-09-10
Bridor;32882;Croissant 50g;VIEN;croissants;Les Savoureux;PAC;50g;120;64;6.0;farine de BLÉ, beurre fin (LAIT) 23%, eau, levure, sucre, ŒUFS, sel, gluten de BLÉ, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases).ŒUFS issus de poules élevées au sol.;gluten, lait, œufs;graines de sésame, soja, fruits à coque;"Végétarien; Beurre; Oeufs Plein Air; Clean Label; Halal; Oeufs Ponte au Sol; Beurre Fin";12;n.d.;ACTIF;VIEN-CROI-50;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-50g-32882;2026-09-10
Bridor;32717;Maxi Pain au Chocolat 150g;VIEN;pains-au-chocolat;Les Classiques;PAC;150g;36;64;5.4;farine de BLÉ, beurre fin (LAIT) 18%, eau, chocolat 9,2% (sucre, pâte de cacao, beurre de cacao, émulsifiant (lécithine de SOJA), arôme naturel de vanille), levure, sucre, ŒUFS, sel, gluten de BLÉ, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases).ŒUFS issus de poules élevées au sol.;gluten, lait, soja, œufs;graines de sésame, fruits à coque;"Végétarien; Beurre; Oeufs Plein Air; Clean Label; Halal; Oeufs Ponte au Sol; Beurre Fin";12;n.d.;ACTIF;VIEN-PAIN-150;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/maxi-pain-au-chocolat-150g-32717;2026-09-10
Bridor;32182;Mini Pain au Chocolat 25g;VIEN;pains-au-chocolat;Les Savoureux;PAC;25g;250;64;6.25;farine de BLÉ, beurre fin (LAIT) 20%, eau, chocolat 11,8% (sucre, pâte de cacao, beurre de cacao, émulsifiant (lécithine de SOJA), arôme naturel de vanille), levure, sucre, ŒUFS, sel, gluten de BLÉ, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases).ŒUFS issus de poules élevées au sol.;gluten, lait, soja, œufs;graines de sésame, fruits à coque;"Végétarien; Beurre; Oeufs Plein Air; Clean Label; Halal; Oeufs Ponte au Sol; Beurre Fin";12;n.d.;ACTIF;VIEN-PAIN-25;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-25g-32182;2026-09-10
Bridor;34853;Mini Pain au Chocolat 25g;VIEN;pains-au-chocolat;Les Classiques;PAC;25g;250;64;6.25;farine de BLÉ, eau, beurre fin (LAIT) 16%, chocolat 11,8% (sucre, pâte de cacao, beurre de cacao, émulsifiant (lécithine de SOJA), arôme naturel de vanille), levure, sucre, ŒUFS, sel, gluten de BLÉ, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases).ŒUFS issus de poules élevées au sol.;gluten, lait, soja, œufs;graines de sésame, fruits à coque;"Végétarien; Beurre; Oeufs Plein Air; Clean Label; Halal; Oeufs Ponte au Sol; Beurre Fin";12;n.d.;ACTIF;VIEN-PAIN-25;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-25g-34853;2026-09-10
Bridor;32922;Mini Pain au Chocolat 28g;VIEN;pains-au-chocolat;Les Savoureux;CRU;28g;200;96;5.6;farine de BLÉ, beurre fin (LAIT) 20%, eau, chocolat 14,2% (sucre, pâte de cacao, beurre de cacao, émulsifiant (lécithine de SOJA), arôme naturel de vanille), sucre, levure, sel, gluten de BLÉ, émulsifiant (lécithine de colza), agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases).;gluten, lait, soja;graines de sésame, fruits à coque, œufs;"Végétarien; Beurre; Clean Label; Halal; Beurre Fin";9;n.d.;ACTIF;VIEN-PAIN-28;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-au-chocolat/mini-pain-au-chocolat-28g-32922;2026-09-10
Bridor;32972;Mini Pain aux raisins 30g;VIEN;pains-aux-raisins;Bridor Une Recette Lenôtre Professionnels;PAC;30g;230;64;6.9;farine de BLÉ, eau, beurre fin (LAIT) 18%, raisins secs 13,2%, ŒUFS, sucre, amidon de maïs, levure, poudre de LAIT écrémé, sel, lactosérum en poudre (LAIT), poudre de LAIT entier, gluten de BLÉ, blanc d'ŒUF en poudre, épaississant (alginate de sodium), émulsifiant (lécithine de colza), extrait de curcuma, arôme naturel, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases), correcteur d'acidité (acide citrique), extrait de carotte.ŒUFS issus de poules élevées au sol.;gluten, lait, œufs;graines de sésame, soja, fruits à coque;"Végétarien; Beurre; Oeufs Plein Air; Clean Label; Halal; Oeufs Ponte au Sol; Beurre Fin";12;n.d.;ACTIF;VIEN-PAIN-30;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-aux-raisins/mini-pain-aux-raisins-30g-32972;2026-09-10
Bridor;31290;Mini Pain aux raisins 30g;VIEN;pains-aux-raisins;Bridor Une Recette Lenôtre Professionnels;PAC;30g;230;64;6.9;farine de BLÉ, eau, beurre Charentes-Poitou AOP (LAIT) 18%, raisins secs 13%, ŒUFS, sucre, amidon de maïs, levure, poudre de LAIT écrémé, sel, lactosérum en poudre (LAIT), gluten de BLÉ, poudre de LAIT entier, blanc d'ŒUF en poudre, épaississant (alginate de sodium), émulsifiant (lécithine de colza), extrait de curcuma, arôme naturel, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases), correcteur d'acidité (acide citrique), extrait de carotte.ŒUFS issus de poules élevées au sol.;gluten, lait, œufs;graines de sésame, soja, fruits à coque;"Végétarien; AOP Charentes Poitou; Oeufs Plein Air; Clean Label; Halal; Oeufs Ponte au Sol; Beurre Charentes-Poitou AOP";12;n.d.;ACTIF;VIEN-PAIN-30;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-aux-raisins/mini-pain-aux-raisins-30g-31290;2026-09-10
