fournisseur;ref_sku;nom_commercial;famille;categorie;gamme;tags;url_source;date_collecte
Bridor;33250;Croissant 40g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-40g-33250;2026-09-10
Bridor;32960;Croissant 50g;VIEN;croissants;Eclat Du Terroir;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-50g-32960;2026-09-10
Bridor;30158;Croissant 50g;VIEN;croissants;Les Classiques;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-50g-30158;2026-09-10
Bridor;32882;Croissant 50g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-50g-32882;2026-09-10
Bridor;32629;Croissant 55g;VIEN;croissants;Les Classiques;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-55g-32629;2026-09-10
Bridor;34541;Croissant 60g;VIEN;croissants;Eclat Du Terroir;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-60g-34541;2026-09-10
Bridor;31000;Croissant 60g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-60g-31000;2026-09-10
Bridor;34161;Croissant 60g;VIEN;croissants;Eclat Du Terroir;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-60g-34161;2026-09-10
Bridor;30168;Croissant 60g;VIEN;croissants;Les Classiques;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-60g-30168;2026-09-10
Bridor;30936;Croissant 60g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-60g-30936;2026-09-10
Bridor;37460;Croissant 60g;VIEN;croissants;Les Irrésistibles;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-60g-37460;2026-09-10
Bridor;37782;Croissant 65g;VIEN;croissants;;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-65g-37782;2026-09-10
Bridor;36039;Croissant 65g;VIEN;croissants;Les Irrésistibles;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-65g-36039;2026-09-10
Bridor;33914;Croissant 70g;VIEN;croissants;Eclat Du Terroir;Beurre Charentes-Poitou AOP;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-70g-33914;2026-09-10
Bridor;31802;Croissant 70g;VIEN;croissants;Bridor Une Recette Lenôtre Professionnels;Beurre Charentes-Poitou AOP;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-70g-31802;2026-09-10
Bridor;40721;Croissant 70g;VIEN;croissants;Eclat Du Terroir;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-70g-40721;2026-09-10
Bridor;37693;Croissant 70g;VIEN;croissants;Les Irrésistibles;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-70g-37693;2026-09-10
Bridor;33230;Croissant 70g;VIEN;croissants;Eclat Du Terroir;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-70g-33230;2026-09-10
Bridor;41414;Croissant 70g;VIEN;croissants;Les Inspirés;Beurre fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-70g-41414;2026-09-10
Bridor;31044;Croissant 70g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-70g-31044;2026-09-10
Bridor;37383;Croissant 70g;VIEN;croissants;Eclat Du Terroir;Beurre Charentes-Poitou AOP;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-70g-37383;2026-09-10
Bridor;30063;Croissant 71g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-71g-30063;2026-09-10
Bridor;38317;Croissant 75g;VIEN;croissants;Les Irrésistibles;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-75g-38317;2026-09-10
Bridor;30995;Croissant 80g;VIEN;croissants;Bridor Une Recette Lenôtre Professionnels;Beurre Charentes-Poitou AOP;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-80g-30995;2026-09-10
Bridor;42466;Croissant 80g;VIEN;croissants;Les Irrésistibles;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-80g-42466;2026-09-10
Bridor;35653;Croissant 80g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-80g-35653;2026-09-10
Bridor;35511;Croissant 80g;VIEN;croissants;Les Classiques;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-80g-35511;2026-09-10
Bridor;35099;Croissant 80g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-80g-35099;2026-09-10
Bridor;31780;Croissant 80g;VIEN;croissants;Eclat Du Terroir;Beurre Charentes-Poitou AOP;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-80g-31780;2026-09-10
Bridor;40677;Croissant 80g;VIEN;croissants;Eclat Du Terroir;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-80g-40677;2026-09-10
Bridor;35676;Croissant 90g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-90g-35676;2026-09-10
Bridor;41855;Croissant Arty 75g;VIEN;croissants;Eclat Du Terroir;Beurre fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-arty-75g-41855;2026-09-10
Bridor;44208;Croissant Arty 80g;VIEN;croissants;Eclat Du Terroir;Beurre fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-arty-80g-44208;2026-09-10
Bridor;32504;Croissant BIO 70g;VIEN;croissants;BIO;;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-bio-70g-32504;2026-09-10
Bridor;35022;Croissant Courbé 70g;VIEN;croissants;Eclat Du Terroir;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-courbe-70g-35022;2026-09-10
Bridor;39621;Croissant Courbé 80g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-courbe-80g-39621;2026-09-10
Bridor;32562;Croissant Courbé 80g;VIEN;croissants;Les Classiques;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-courbe-80g-32562;2026-09-10
Bridor;31542;Croissant Lunch 30g;VIEN;croissants;Bridor Une Recette Lenôtre Professionnels;Beurre Charentes-Poitou AOP;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-lunch-30g-31542;2026-09-10
Bridor;31778;Croissant Lunch 30g;VIEN;croissants;Bridor Une Recette Lenôtre Professionnels;Beurre Charentes-Poitou AOP;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-lunch-30g-31778;2026-09-10
Bridor;32974;Croissant Lunch 30g;VIEN;croissants;Bridor Une Recette Lenôtre Professionnels;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-lunch-30g-32974;2026-09-10
Bridor;31026;Croissant Lunch 30g;VIEN;croissants;Les Classiques;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-lunch-30g-31026;2026-09-10
Bridor;35191;Croissant Lunch 30g;VIEN;croissants;Eclat Du Terroir;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-lunch-30g-35191;2026-09-10
Bridor;32881;Croissant Lunch 30g;VIEN;croissants;Les Savoureux;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-lunch-30g-32881;2026-09-10
Bridor;38564;Croissant Lunch BIO 30g;VIEN;croissants;BIO;Beurre Bio;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-lunch-bio-30g-38564;2026-09-10
Bridor;35681;Croissant Lunch Multigrains 35g;VIEN;croissants;Les Evasions;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-lunch-multigrains-35g-35681;2026-09-10
Bridor;42750;Croissant Lunch SelectBlend 40g;VIEN;croissants;Baker Solution;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-lunch-selectblend-40g-42750;2026-09-10
Bridor;34732;Croissant Multigrains 70g;VIEN;croissants;Les Evasions;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants/croissant-multigrains-70g-34732;2026-09-10
