fournisseur;ref_sku;nom_commercial;famille;categorie;gamme;technologie;poids_unitaire;unites_par_colis;colis_par_palette;poids_colis_kg;ingredients;allergenes_declares;traces_possibles;labels;ddm_mois;provenance;statut;id_generique;motif_nouveau;url_source;date_collecte
Coup de Pates;25252;MINI CROISSANT;VIEN;croissants;Coup de Pates;CRU;25g;200;n.d.;5.0;n.d.;"gluten; lait";"œufs; soja; fruits à coque";;n.d.;n.d.;ACTIF;VIEN-CROI-MINI;NOUVEAU proposé : mini croissant 25g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-CROISSANT/p/25252;2026-09-10
Coup de Pates;840806;MINI CROISSANT LES SECRETS DU FOURNIL® PRÉPOUSSÉ 30G;VIEN;croissants;Coup de Pates;PAC;30g;195;n.d.;5.85;n.d.;"gluten; œufs; lait";"soja; fruits à coque; sésame";;n.d.;n.d.;ACTIF;VIEN-CROI-MINI;NOUVEAU proposé : mini croissant 30g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-CROISSANT-LES-SECRETS-DU-FOURNIL%C2%AE-PR%C3%89POUSS%C3%89-30G/p/840806;2026-09-10
Coup de Pates;70650;MINI CROISSANT D'HUBERT PREPOUSSE 25G;VIEN;croissants;Coup de Pates;PAC;25g;160;n.d.;4.0;n.d.;"gluten; œufs; lait";"soja; fruits à coque";;n.d.;n.d.;ACTIF;VIEN-CROI-MINI;NOUVEAU proposé : mini croissant 25g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-CROISSANT-D%27HUBERT-PREPOUSSE-25G/p/70650;2026-09-10
Coup de Pates;25957;MINI CROISSANT PREPOUSSE;VIEN;croissants;Coup de Pates;PAC;25g;225;n.d.;5.62;n.d.;"gluten; œufs; lait";"soja; fruits à coque; sésame";;n.d.;n.d.;ACTIF;VIEN-CROI-MINI;NOUVEAU proposé : mini croissant 25g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-CROISSANT-PREPOUSSE/p/25957;2026-09-10
Coup de Pates;25977;MINI CROISSANT PREPOUSSE BEURRE D'ISIGNY AOP;VIEN;croissants;Coup de Pates;PAC;30g;210;n.d.;6.3;n.d.;"gluten; œufs; lait";soja;AOP;n.d.;n.d.;ACTIF;VIEN-CROI-MINI;NOUVEAU proposé : mini croissant 30g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-CROISSANT-PREPOUSSE-BEURRE-D%27ISIGNY-AOP/p/25977;2026-09-10
Coup de Pates;25112;CROISSANT BEURRE D´ISIGNY AOP 70G;VIEN;croissants;Coup de Pates;CRU;70g;150;n.d.;10.5;n.d.;"gluten; œufs; lait";"soja; fruits à coque";AOP;n.d.;n.d.;ACTIF;VIEN-CROI;NOUVEAU proposé : croissant 70g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CROISSANTS-CRUS/CROISSANT-BEURRE-D%C2%B4ISIGNY-AOP-70G/p/25112;2026-09-10
Coup de Pates;70082;CROISSANT BEURRE FIN PRÉPOUSSÉ 70G;VIEN;croissants;Coup de Pates;PAC;70g;80;n.d.;5.6;n.d.;"gluten; œufs; lait";"soja; fruits à coque; céleri; sésame";Beurre fin;n.d.;n.d.;ACTIF;VIEN-CROI;NOUVEAU proposé : croissant 70g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CROISSANTS-PREPOUSSES/CROISSANT-BEURRE-FIN-PR%C3%89POUSS%C3%89-70G/p/70082;2026-09-10
Coup de Pates;70635;CROISSANT BEURRE FIN CRU 70G;VIEN;croissants;Coup de Pates;CRU;70g;100;n.d.;7.0;n.d.;"gluten; œufs; lait";"soja; fruits à coque";Beurre fin;n.d.;n.d.;ACTIF;VIEN-CROI;NOUVEAU proposé : croissant 70g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CROISSANTS-CRUS/CROISSANT-BEURRE-FIN-CRU-70G/p/70635;2026-09-10
Coup de Pates;25116;CROISSANT BEURRE FIN 60G;VIEN;croissants;Coup de Pates;CRU;60g;180;n.d.;10.8;n.d.;"gluten; lait";"œufs; soja; fruits à coque; sésame";Beurre fin;n.d.;n.d.;ACTIF;VIEN-CROI;NOUVEAU proposé : croissant 60g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CROISSANTS-CRUS/CROISSANT-BEURRE-FIN-60G/p/25116;2026-09-10
Coup de Pates;22071;CROISSANT COURBE DU FOURNIL 70G;VIEN;croissants;Coup de Pates;CRU;70g;165;n.d.;11.55;n.d.;"gluten; lait";"œufs; soja; fruits à coque; sésame";;n.d.;n.d.;ACTIF;VIEN-CROI;NOUVEAU proposé : croissant 70g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CROISSANTS-CRUS/CROISSANT-COURBE-DU-FOURNIL-70G/p/22071;2026-09-10
