fournisseur;ref_sku;nom_commercial;famille;categorie;poids_piece;unites_par_colis;url_source;date_collecte
Coup de Pates;25092;CROISSANT LE TOURIER 70G;VIEN;croissants;70g;120;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CROISSANTS-CRUS/CROISSANT-LE-TOURIER-70G/p/25092;2026-09-10
Coup de Pates;25096;CROISSANT DU FOURNIL 70G;VIEN;croissants;70g;160;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CROISSANTS-CRUS/CROISSANT-DU-FOURNIL-70G/p/25096;2026-09-10
Coup de Pates;25113;PAIN CHOCOLAT 2 BARRES BEURRE D´ISIGNY AOP 80G;VIEN;pains-au-chocolat;80g;150;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/PAINS-AU-CHOCOLAT-CRUS/PAIN-CHOCOLAT-2-BARRES-BEURRE-D%C2%B4ISIGNY-AOP-80G/p/25113;2026-09-10
Coup de Pates;25112;CROISSANT BEURRE D´ISIGNY AOP 70G;VIEN;croissants;70g;150;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CROISSANTS-CRUS/CROISSANT-BEURRE-D%C2%B4ISIGNY-AOP-70G/p/25112;2026-09-10
Coup de Pates;25115;CHAUSSON POMME BEURRE D´ISIGNY AOP;VIEN;autres-viennoiseries;100g;40;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CHAUSSONS/CHAUSSON-POMME-BEURRE-D%C2%B4ISIGNY-AOP/p/25115;2026-09-10
Coup de Pates;25978;MINI PAIN CHOCOLAT 2 BARRES PREPOUSSE BEURRE D'ISIGNY AOP;VIEN;pains-au-chocolat;40g;170;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-PAIN-CHOCOLAT-2-BARRES-PREPOUSSE-BEURRE-D%27ISIGNY-AOP/p/25978;2026-09-10
Coup de Pates;25977;MINI CROISSANT PREPOUSSE BEURRE D'ISIGNY AOP;VIEN;croissants;30g;210;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-CROISSANT-PREPOUSSE-BEURRE-D%27ISIGNY-AOP/p/25977;2026-09-10
Coup de Pates;70595;CROISSANT LE FLEURON DU FOURNIL CRU 70G;VIEN;croissants;70g;150;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CROISSANTS-CRUS/CROISSANT-LE-FLEURON-DU-FOURNIL-CRU-70G/p/70595;2026-09-10
Coup de Pates;70596;PAIN CHOCOLAT 2 BARRES LE FLEURON DU FOURNIL CRU 80G;VIEN;pains-au-chocolat;80g;150;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/PAINS-AU-CHOCOLAT-CRUS/PAIN-CHOCOLAT-2-BARRES-LE-FLEURON-DU-FOURNIL-CRU-80G/p/70596;2026-09-10
Coup de Pates;22071;CROISSANT COURBE DU FOURNIL 70G;VIEN;croissants;70g;165;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CROISSANTS-CRUS/CROISSANT-COURBE-DU-FOURNIL-70G/p/22071;2026-09-10
