article_metro;id_matiere;statut;designation_facture;achats;depense_ht;note
2422798;MATP-FARI-T65;ACTIF;MC FARINE PANIF. T65 25KG;2;93.55;designation porte T65
0194928;MATP-BEUR-TOUR;ACTIF;BEURRE DX AOP 84% PLQ 1KG LESC;1;39.09;designation porte 84%, taux de tourage
2252104;MATP-BEUR-DOUX;A_VERIFIER;BEURRE DX 500G MA PAYSANNE;16;575.89;doux, taux de MG non ecrit; le referentiel exige 82%
2999514;MATP-FRUI-AMPO;ACTIF;*POUDRE D'AMANDE BLANCH 1KG MC;10;112.90;poudre d amande blanchie
3000130;MATP-FRUI-AMPO;A_VERIFIER;MC POUDRE D'AMANDE GRISE 1KG;1;11.12;poudre d amande GRISE; le referentiel ne distingue pas blanche et grise
0734178;MATP-FRUI-PIST;ACTIF;PATE DE PISTACH 1KG CRESCO;4;127.06;pate de pistache
0077743;MATP-FRUI-FRPU;ACTIF;PUREE FRAISE 1KG PONTHIER;1;7.80;puree de fraise
2361863;MATP-LAIT-CREM;ACTIF;CREME UHT 35% 1L EXCELLENCE;1;35.13;designation porte 35%
3094513;MATP-LAIT-CREM;ACTIF;*CREME UHT 35% 1L BK MC;1;25.28;designation porte 35%
2478147;MATP-LAIT-ENTI;A_VERIFIER;LAIT UHT VIVA 1L BK VITAMINE;1;7.17;lait UHT vitamine; entier non ecrit
3126273;MATP-OEUF-ENTI;ACTIF;OEUF 90 M PPA FERME BRUILLE;1;25.11;oeuf coquille calibre M
2364156;MATP-OEUF-ENTI;ACTIF;*OEUF 90 M PPX;1;22.41;oeuf coquille calibre M
3036134;MATP-OEUF-JAUN;ACTIF;OEUF LIQ JAUNE SOL BD 1KG;1;11.08;jaune liquide
3036001;MATP-OEUF-BLAN;ACTIF;OEUF LIQ BLANC SOL BD 1KG;1;5.04;blanc liquide
2126241;MATP-SUCR-GLAC;ACTIF;SUCRE GLACE SAC PAP 1KG STL;1;6.04;sucre glace
3081791;MATP-SUCR-GLAC;ACTIF;ST LOUIS SUCRE GLACE 2 KGS;2;8.96;sucre glace
2478162;MATP-LEVU-FRAI;ACTIF;LEVURE 500G*5 LEVAREAL 2,5KG;5;52.20;2,32 EUR/kg — incompatible avec de la levure seche
2477495;MATP-LEVU-FRAI;ACTIF;LEVURE 500G*5 HIRONDELLE 2,5KG;7;57.62;2,55 EUR/kg — incompatible avec de la levure seche
3046992;MATP-SUCR-SEMO;A_VERIFIER;ARO SUCRE CRISTAL 5 KG;11;92.84;sucre CRISTAL; le referentiel porte semoule, granulometrie differente
0161646;MATP-SUCR-SEMO;A_VERIFIER;SUCRE SOLNEIGE 5KG ST LOUIS;1;25.99;sucre cristal; meme reserve
0888032;MATP-CHOC-NOIR;A_VERIFIER;MC 500 BATONS 1.6KG 44%;4;94.80;batons 44%; couverture non ecrite, et 44% est bas pour du noir
2371425;MATP-CHOC-NOIR;A_VERIFIER;MC GOUTTES 7500 NR 50% 5KG;3;139.47;gouttes 50%; forme goutte, couverture non ecrite
2914844;MATP-CHOC-LAIT;A_VERIFIER;ARO CHOCO LAIT 5*100GRS;1;11.13;tablettes 100g; couverture non ecrite
0327460;MATP-AROM-VAAR;A_VERIFIER;METRO CHEF AROME VANILLE 1L;4;20.96;arome vanille; artificiel non ecrit, distingue de l extrait naturel
